,title,rating,date_of_stay,review
3561,Blissful Relaxation,40,December 2014,"We had a very relaxing stay at Courtyard Bali Semimyak. We had actually booked different accommodation before arriving in Bali but quickly realised that it wasn't adequete for us. So we did some window shopping and came across Courtyard Bali Seminyak. We decided to have a drink at the dining area after viewing the nice room. The very friendly waiter Agus served us. He was very helpful and helped us in making our decision to stay at Courtyard Seminyak based on his excellent service.

The housekeeping overall was good, except there were a few inconsistencies depending on which house keeper(s) was working. For instance, we left a generous tip for housekeeping on our first night, but didn't receive the comp bottles of water or any acknowedgments. The following day we left a smaller tip and received a note of thanks and comp water bottles provided (4 in fact!). Can't remember that housekeepers name but he kept the room very clean.

Drinks were ok however there were a limited choice of cocktails.

The hotel is very new, opened Aug 2014 and you can tell. Everything from the decor to the bed sheets look very new and clean. The pool is beautiful and has two levels, upper - where the pool bar is and the adults hang out. Lower - more suited to families and where the sun beds are.

Overall a great stay and we will hopefully return in 2015!"
3562,"A professional hotel,...",40,December 2014,"its a Marriott. Just like many others across the world.
Rooms are a bit small, especially compared to the other hotels one has stayed in across Bali.
Breakfast is great, service is good.
Unfortunately, Marriott missed in on adding in the Balinese touch."
3563,"If you like peace and quiet, don't stay here",30,December 2014,"We are currently staying at this resort and I feel compelled to provide honest feedback for anyone considering staying here. As single women, this hotel has been a complete let down. Started off in a pool room close to the pool bar - BIG mistake. The noise from the music at the bar is completing ridiculous and far too loud. We could not even hear our own tv in the room one morning. Since then requested to be moved to another room at the far end, another mistake. All we can hear whether we are in, or out of, our room is other people's children screaming, crying or sqealing all day long! This is not the fault of the guests, but a design fault the the hotel failed to consider. All rooms are pool facing and the pool runs the length of the hotel complex.
Another major problem is that there is nowhere near enough sun lounges for the majority of guests. Again, this needs to be looked at. Every guest should be able to stay by the pool for the day should they wish, unfortunately this is not an option for many and we witnessed numerous people trying to locate somewhere to relax.
In terms of the rooms being serviced, again, I expected far more from a property such as this. Our minibar has not been replenished in 4 days. We constantly have towels missing, soaps not replaced, etc, etc. This is just not good enough.
On a positive note, breakfast is fabulous, large array of choices and the staff are very friendly and more than accomodating.
If the Courtyard by Marriott is able to address some of the problems that I mentioned, it would be a great place to stay. However as it stands, I would not choose to stay here again."
3564,"Yes, it's a Marriott",50,December 2014,"Another success for Courtyard Marriott. The property is designed well. Staffs are very attentive and helpful. Thank you for the upgrade, we enjoyed our stay with you. Cindy, our GRO was very helpful, arranging our transport and our restaurant booking.

Breakfast is excellent. Love the fresh juices. Definitely will go back again.

Note on the side, use your google or trip advisor to find popular restaurant near it. Many popular place to eat or hang out near the hotel."
3565,Room and Pool Bar,50,November 2014,"I highly Recommended for this Hotel for everyone, The best swimming pool ever for the stay and also the staff very friendly and Service oriented. the food was excellent and the price reasonable.
Buffet Breakfast with a lot of choices."
3566,Lovely people and service was great,40,November 2014,"We were at this hotel in November 2014. I had read previous reviews about the security putting a dampener on the holiday but honestly it is not a problem at all. The security people are very friendly and it is a quick process. Nice hotel with a great buffet breakfast. Rooms are not very big even the executive suites but functional, comfy beds and big showers. The service is prompt and the local people who work there are mostly young people and very hospitable. I loved the spa treatments at the hotel- way more luxurious and relaxing than you get out on the street! Overall a good hotel- however because of its minimalist design features, it lacked the traditional Balinese charm which is something i would have appreciated."
3567,Great hotel,50,December 2014,"We had a great 4 nights at this hotel. Check-in experience was smooth, and our room (family suite) was reasonably sized, though not large. Good selection of bathroom amenities. Staff was courteous and helpful. The pool is large, and nice pool bar. Breakfast was included in our price, there was a good selection of both western and asian food - great eggs benedict, and decent coffee. We had a few other meals at the hotel too - generally good quality food at reasonable (though not cheap) prices. The spa was good too. Location is a 5-10 minute walk from the beach. Lots of touts outside the hotel who hassled you on your way to the beach, which was a bit annoying but not the hotel's fault. We will stay here on our next visit to Bali!"
3568,Recommend,50,December 2014,Great hotel. Staff are very helpful and nice. Great atmosphere with awesome pool bar and live band. Breakfast is delicious. Close to restaraunt on the beach. The hotel offered to drive us to the beach in their golf buggy. On arrival we were offered a Bintang. New hotel. Bed and pillows so comfy.
3569,OK but security spoils the atmosphere,30,December 2014,"Ok hotel.
New, clean.
Rooms are quite small. Too much furniture. Soaps etc limited. No cotton buds??? Not enough storage space to unpack your bags. TV doesn't work when the rooms are humid.
Security borderline ridiculous. Airport security is more lax. You get scanned and xray every time you enter the hotel.
Pool music way too loud and unnecessary so don't expect to sleep in if you have a pool room. They tend to crank it up now and then maybe to get you out of the rooms so they can clean them.
The restaurant gets packed so plan early or you'll have to wait.

Recommend a room AWAY from the pool bar."
3570,Luxury Escape voucher booking,30,December 2014,I have also bought Luxury Escape Vouchers for a family of 6 and have now booked for August. It took several emails to get our booking confirmed but I think if you are patient and book ahead and not at the last minute you will be rewarded with a fantastic stay at a very affordable rate. Please remember you are emailing to Indonesia where English is a second language. We are very much looking forward to our stay. Lee Scott.
3571,an affordable marriot,30,December 2014,"as the tittle mentioned, this is the affordable version of marriot type. it includes almost everything : the meal & the room service. the nicest element is the design with very large pool as the center. this hotel is pretty new so the interior looks really nice. but, the drop off is the security service that a bit stiff and not too friendly. recommended for family with young kids."
3572,Very Impressive Hotel,50,December 2014,Stayed for a week over Christmas with my 15 year old son. Service was impressive and rooms were clean and well designed. Our room over looked the pool on level 6. The breakfast was amazing with both western and Asian cuisine. The only thing I could fault was that the cafe latte was definitely not barista made. I walked up the street every morning for my latte. I liked the fact that security was tight especially over the Christmas period. You have to have a security check every time you enter the hotel. Almost forgot to mention the massages at the hotel were superb and were much better than the cheaper ones out in the street. Only $30 for an hour of bliss. Will definitely stay again on our next trip to Bali.
3573,Expensive and every extra is costly,20,December 2014,"We booked last minute online towards the end of Decembre 2014.
The rooms are overpriced. There is a 2cm gap on top and bottom of the sliding door (balcony) towards the street, It is VERY noisy ; if you have booked there, ask to have a room facing inwards on the pool. Also make sure the breakfast is included.

The food is average (quality) and expensive. Phone calls from the rooms are EXTREMELY expensive (like US$70 for a few minutes!).

The breakfasts were not included and we all had to pay US$28 per breakfast. The food was OK - classic self-serve breakfast seen in many big hotels.

Dinner was SLOW; we waited a long time to get told that the cocktail on the list was ""new"" and that the head cocktail guy was not working today. The food was OK but nothing fancy.

The pool is nice but not much sun, as it is surrounded by the building.

Rooms are small, but modern with goood air con and nice TV.

The location of the hotel is good. Lots of bars on the same street, open late, and on the other side, you can walk to the beach.

Overall it is not a bad hotel but I definitely felt ripped-off. I've seen much better value for money."
3574,Love it,50,December 2014,"We stayed at Courtyard Marriott with our two children 10 and 8. We had a deluxe pool view room with two double beds. Although the room was not huge, we were aware of the size at the time of booking as we had inspected the hotel prior to booking. We loved all the amenities, pool, restaurants and facilities. The breakfast was superb. Our daughters loved going to and from the kids club.
We enjoyed it so much we have rebooked for 2015 and are bringing with us our parents."
3575,Everything you want in one small but fabulous package.,50,September 2014,"Loved this place. It's not massive. The rooms aren't big, but it's enough to give you what you want which is comfort, quality, style and relaxation.

The service we got there was top notch. The manager Brad and Executive chef Billy were always so helpful. We never received this kind of attentive service when I stayed in a big resort in Thailand.
I want to come back with the kids next time to show them what an awesome hotel.
My only negative is that it is a smaller hotel and it's good for a smaller family. The rooms are not huge and the deck chairs around the pool get take up quickly if you arrive middle of the day.
I'm coming back with my 2 kids and leaving the partner home for next trip. My kids being quiter kids I know will love it."
3576,Great stay,40,November 2014,"The hotel is new, good value during promotion. The rooms are small however modern and meets all your needs. We originally had different rooms however when we checked in, there were problems with our air-conditioning so we were moved to different room that were not inter-connecting as requested. Communication between staff at reception could be improved as the same requests were met with different answers depending on staff members. The breakfast at Marriott was fantastic and could tempt even the fussiest eaters; they're loads of choices for all different cuisines and it's great to see the Executive Chef greeting customers and aiding his fellow chefs. There are lots of restaurants and supermarkets opposite and around the hotel that cater to all your needs and the beach is only about a five minute walk away or you could ask the staff to drive you in a buggy to the beach and eating areas. The pool's more than satisfactory with complimentary bean bags and the staff walk around hourly with complimentary refreshing towels, icy poles drinks. All in all, a great stay!"
3577,Luxury Escapes,10,December 2014,I too am waiting for a reply. I have been emailed once to say my dates are available but that was a week ago and nothing since despite being asked if I want to proceed with my booking. Even an estimated date that we will be emailed the information would be good but lack of communication is very disheartening.
3578,I'd love to stay but.....,10,December 2014,"I also bought a luxury escapes deal, after 12 days and multiple emails I find out my dates are unavailable. I was offered a lower class of room or the option of upgrading for additional 1200usd (insane amount). I got a refund on the voucher then emailed the resort to make a standard booking and guess what...2 days later no reply. Not good enough Marriott, I'm taking my business elsewhere (and I'm a very regular traveller to Bali)."
3579,"Great stay, excellent service",50,October 2014,"We stayed here in October 2014. We got pool access rooms that were beautiful. The staff were so friendly and helpful, and always had a smile on their faces. A big shout out to Cindy Meilani who provided us with excellent service and attended to our every need. We even got a Balinese souvenir, which was very thoughtful. Thanks for a great stay!"
3580,Excellent service friendly and would come back,50,December 2014,"Just want to say thank you to Cindy , Cinqo and all management for efficiency in resolving our room issue . Jaka thank you for the stretching and yoga it was a great experience and also to all the staff at the swim up bar could not fault their service . Kitchen seminyak food was brilliant could not fault. We will definitely be back. Had a wonderful holiday . Angelique Wessels room 360"
3581,Very good stay!,40,December 2014,"Me and my girlfriend stayed at the Courtyard by Marriott in Seminyak from December 18 to December 22nd. The hotel is still very new and it is very clean. The rooms are very modern and the pool is big and spacious. Although the hotel is not directly in eat street which is Seminyaks hustle and bustle, it is very close to it and there are still many shops, massage places and it is directly opposite to a mini super market, commonwealth bank atm and a legit money changer (that wont rip you off). The hotel is also very close to a lot of boutiques and restaurants.

The only problems I had with the hotel was that the compendium stated that there was supposed to be an iron in the cupboard, but there was none in my room, and there was only 1 bathrobe in the room when most hotels provided 2. The breakfast was also not that great, the fried rice, mee goreng and the noodle soups in particular tasted bland and lacked the flavours that Bali is known for. Besides those small issues, the rooms are great! They provide you with all the bathroom amenities you need including a digital scale to track all the delicious Bali food you are consuming!

My most memorable experience would have to be joining happy hour by the pool bar from 4pm to 7pm for some delicious half price cocktails and bar food!

Overall a very good stay and I am sure because of how new the hotel is, it is only going to keep getting better over time!"
3582,Reservations shocking,10,December 2014,"Purchased a voucher from luxury escapes for a pool terrace room deal. What an ordeal.
To cut a very long story short it took the Marriott 1 week to reply to my initial email of dates that I wanted, only to be told those dates were not available. When I questioned that I still could purchase that room through there web page, there reply was , we only allow a certain amount of rooms for this deal and they are all sold. As my voucher is about to expire within the next couple of days, trying to organise another rate ( which I told them I was prepared to pay extra) has been a nightmare. Rang the hotel twice to get them to reply to my email, still waiting . Don't ask questions because you won't get answers. Especially if you ask had they not of taken 1 week to reply to my initial email , would the room been available then. Very frustrating. Beware. 1 person taking reservations is a joke."
3583,Stay was NOT long enough!,50,December 2014,"In short, this place is fantastic. I cannot understand how this place got 2 ""terrible reviews"". Security was certainly not over the top, the security staff were extremely friendly and the security checks caused minimal, if any, disruption.

The food.. WOW.. We enjoyed two dinners in Seminyak Kitchen. The first were the Bloody Mary burgers which were fantastic! Second dinner experience was an Indonesian Buffet.. This was just as brilliant. The winner though, were the breakfasts. The choice and quality of the food was out of this world! The staff were extremely friendly and my partner and I were greeted every morning by our first names. Coffee and tea was always offered despite other reviews here.

The room was clean, spacious and really enjoyable to stay in. We had a great view of the pool and the room was cleaned and maintained daily. The air con was a godsend on the hot days. We could not hear another thing outside of our room which was surprising given how busy it is nearby.

The pool and bar staff were exceptional. We were greeted by friendly staff every day and offered fresh towels. Thought the morning we were given free ice cold waters and although we left early, we saw visitors enjoying cold ice blocks also. The pool bar staff at happy hour are the best. Like with the restaurant, the staff at the pool bar really helped make this memorable.

We have currently just arrived at Sofitel in Nusa Dua and we feel like it's so lifeless and disappointing compared to our stay here.

We WILL be back. Thank you."
3584,"Wow, will definitely return!!",50,December 2014,"Wow, this place is amazing!!!!! From the moment you arrive you feel like you are in paradise, so many nice touches, from the fresh flowers handed to you in the car while they complete their security check, to the welcome drink & cool towel whilst checking in, does it get any better than this?! It does!! We were shown to our room & had our luggage delivered straight away, ordered room service the first night as we got in around 10pm, it was reasonably priced, quick & delicious. The buffet breakfast is to die for, the BEST I have ever had. The staff are all amazing, friendly & willing to help with anything & everything you may need. The pool is awesome, comfy pool lounges, super comfortable pool beanbags & a swim up bar with a daily happy hour and live music. I usually stay at Sofitels when I travel but I couldn't go past the opening special at this hotel, we have just arrived at Sofitel Nusa Dua for the last leg of our first trip to Bali & all I want is to be back at the Marriott in Seminyak, if my rate at Sofitel wasn't pre-paid I'd be in the next taxi back to to Marriott! Thank you so much to all of the staff who made our stay absolutely amazing, we will most definitely be back."
3585,Luxury Escapes,50,December 2014,We booked recently with a luxury escapes voucher for next year so I thought I would write as I saw complaints. I have booked a voucher deal with a company only once in the past and it didn't go well as they were or had gone bust so I was a bit nervous but figured as it is a Marriott it should be ok. The voucher was easy to purchase and I checked if we could have our dates straight away with the hotel on an email that was given and no problem with getting the dates we wanted. It was really easy and I was told the Marriott looks forward to when we stay in August & we are excited too as I have been reading the reviews here & it all sounds good!!
3586,The Bestaz!,50,November 2014,"We arrived late from our flight and our cab was checked as we entered the premises. This is done every time for your safety, now worries then bags removed and we proceeded to the desk to be greeted in very warm, welcoming fashion. We were offered a cool drink and moist cool towel. Check in was very quick and courteous.
We proceeded to our room and were so pleasantly surprised. All the reviews that had been written about this hotel were 100% true. A lovely room and a balcony that we could sit on and look down at the pool. We were in room 534 on the 5th floor. The room was quite at night and sleeping was so nice in a great comfortable bed. Fresh toiletries were replenished each day when the room was done and that always was done perfectly.
Next morning breakfast was absolutely fantastic. The Australian head chef wandered around each sitting and spoke to the guests and even at night we again were blessed with their company. We ate there on two occasions in the evening and were never disappointed. There was one very attentive waitress who served us on many occasions. She had worked at the Marriot in and I would give her 10/10 for her smile and genuine friendliness.
We had a full body massage and a face massage, you have to one those. We just loved them.
The weather was not all that good and they tell me May is a good time to visit, but trust me we still had great time. Our last day we spent at the pool at the bar as the sun finally showed up and had some great snacks there also.
Each time you go in and out of the hotel, your bags are checked. As an Australian and having been to Bali before I took all the medicine in case I got Bali belly… not needed. And after the Bali Bombings when over 100 Australians died and many injured, I hesitated for a long while to go back, but I must say I felt completely safe at all times. I would even let my daughter stay at this hotel.
We were granted a late checkout and just chilled out in the computer room until our taxi arrived to take us to the airport for our evening flight back to Sydney.
Wifi was very quick."
3587,Well appointed room,40,December 2014,"Pleasantly surprised. Room is router than it appears in Internet photos. Lovely firm bed, four good pillows, duvet-great sleep! Block out and sheer curtains even better sleep.
Amenities provided very sparingly - just two tea and coffee sachets, one toothbrush and robe...waste not want not, I suppose it makes sense.
Nearly 60 channels on TV???
Lovely view of the pool fr our 6th floor room looking up the length of the pool towards the foyer. Jet lagged, loud bird calls from the roof so was up early watching the pool attendants at work pre-sunrise from our balcony.
One thing though-the number of light fittings and switches in This room is mind boggling, great for lighting but a hide and seek when you want to turn off the Lights before going to bed, or is there a master switch undiscovered?"
3588,Great hotel,50,September 2014,"Really great hotel, from outside the street is crowded, but once you come inside, it is totally different. It is very cozy and relaxing. it seems all room have pool view, very nice view with pool bar. good service and good breakfast. they have kids corner with many activities."
3589,great price and location,40,December 2014,"Stayed 4 nights, got free breakfast and upgrade to pool view room. Live band during happy hour (4-7!) near the pool was a bonus.
Excellent location and great price for spending time in seminyak or exploring bali"
3590,Comfortable Stay,50,November 2014,"The stay at the hotel was very nice. The staff and services were excellent. The location of the hotel is also central with markets, restaurant etc near by. The beach is 5 minutes walk from the hotel. Do not miss using the pool bar if you are staying in this hotel."
3591,Great service,50,December 2014,I stayed at the Marriott for 2 nights before I went to the gili Islands for 3 nights and then returned to Marriott again. The hotel was kind enough to store our large suitcases while we were on the gili Islands. The safe were great and very friendly. The breakfast was a great way to start the day. although seminyak isn't the greatest place to be the hotel was perfect and would recommend it to anybody planning on staying in seminyak
3592,Superb Hotel and Excellent Service,50,December 2014,"I stayed here for three nights on a business trip to Bali. The check-in process was a bit lengthy but thereafter everything worked like clockwork. The staff are all highly trained, well spoken and have good command of the English language, and many more. Nothing seems too much for the staff, who are always willing to help. The rooms are of a pretty good size, many with balconies. The whole property (opened only 3 months ago) seems to be well maintained. The gardens and pools are a very attractive feature of the property. Breakfast is absolutely superb, with almost everything you could wish for at the start of the day. Altogether a really good choice. I will be back here again"
3593,One of best hotels in Bali,50,December 2014,"Stayed at the Courtyard Marriott last week for 7 nights.
WOW What can I say, could not fault a thing, from check in to check out the staff should be commended as they were extremely professional & polite, special mention to Billy in the Seminyak Kitchen for breakfast which was just sensational everything you could want & Werdiana Putra for dinner, these guys went out of there way to make sure we were happy & satisfied with our food. The pool staff especially Candra were so friendly and approachable nothing was a problem, a lovely happy face to see each day.
The rooms even though a little small but not a problem were of high standards, clean & comfortable. The wifi throughout the hotel was no problem.
Overall an excellent hotel which made our holiday a very enjoyable & relaxing stay.
As a frequent visitor to Bali we will highly recommend the Courtyard Marriott to anyone wanting a hassel free relaxing holiday, we will definitely be back in August with family."
3594,"Great Hotel, Location and Staff",50,December 2014,"My wife and I travelled to Bali with some friends, and we chose to stay at the Courtyard Seminyak due to the great location and that there was an opening special on.
We were all very happy with the hotel. Being newly opened, it was fresh and clean.
Buffet breakfast was sensational, with a wide variety of food (I need an egg chef and noodle station at home now!).
The coffee at breakfast could be a bit hit and miss, but that is the only tiny negative.
Staff were really friendly and helpful, from reception to the pool bar, to everyone else working the grounds, housekeeping etc.
Rooms initially seemed a little small, but we were only there to sleep at night, so it was not a factor. The pool view rooms are quite nice. The gym had enough options to.give you a good workout plus there were other fitness activities on offer by the hotel.
Location is great - we walked to all the main shopping streets in Seminyak, but if we were feeling lazy, it was just a quick taxi ride.
Free wifi was available in room and in all public areas - great speed considering everyone using it and even better than I get at home.
I would definitely consider this hotel again!"
3595,Great for brand new hotel - nothing that needs changing,50,November 2014,"Only a 5 minute walk to the beach, 10 minutes the other way you're on the main street, and 15 minutes down the side road you're at the restaurant strip. Pool is awesome, good pool bar. Great variety of drinks, food - not always way you're expecting, but always tasty. Staff - super friendly, pleasant and nothing is a problem. Always a smile and hello when you pass a staff member.
Room - awesome. Just down from the pool, third floor. It's above the kids corner/day care so in the morning it's a little loud but not to bad. Room was always super clean after servicing, never an issue. Would stay here again with out doubt and would recommend.
I travel a lot and this hotel had the best GYM I have ever seen - small but it had ample of everything. Great work Marriott."
3596,Great value and services,40,December 2014,"I just got back from short trip to bali and I stayed this property for 4 nights, It is a brand new hotel and it is more on a bussiness and leisure kind of feel to it. The check in was seamless and quick. The reception team was amazing.

The room
It was suprisingly small compare to other hotel with the same value for money. Clean and decorated with minimal art work. The bed was comfortable (kig size). The housekeeping was just ok nothing to be shout about. However, on my 2nd day the house keeping was excelent they even folded my scatered clothes and aranged it neatly. kudos to whoever u were ;). The aircond was cold and well functioned. The wifi was extremly fast as I was in the 6th floor. The hotel could do better in term of sound insulation as I could hear other guests next door. If you opt to not being disturbed by live band playing evey night, I would suggest the highest floor.

Toilet
Medium in size with nice fixing. Eventhough, the hotel is newly opened, the glass panel in my toilet was broken I did not complaint as it was not a major issue. The water presure was good. The ammetties provided were adequate. I did not have any problems with the toilet except for the glass panel issue.

Breakfast
Probably the best in the seminyak area. A lot of choices from local to western dishes. My fave was pancake with luicious chocolate sauce. It was scrumptious. However, the noodle station could do better on its brooth seasoning. I found it to be a bit salty. Other then that the dishes were delicious. The excutive chef went around and talked with the guests which were very proactive.

Pool bar
The cocktails were refreshing, however the selection of food were limited, friendly staff.

Zanti Spa
It was clean and warmly lit. The service was just ok. I had two sessions and it was just average. The staffs could be more friendly and willing to help guests eventhough they seem not willing to do it expecialy at the gym. Since most of the time when I was there the gym was empty. On the positive note the massage was amazing.

All in all, the hotel was great in value which cater to every guests need. Strategicly located around cafes and restaurants in Seminyak area. Easy acess to Seminyak beach and getting around the hotel is not much of hassle. However, there are some area which needed to be look into namely house keeping, spa, gym and perharp the condition of room. I thoroughly enjoyed my stay. I shall pay a visit whenever Im in seminyak. Cheers!!"
3597,Amazing!!!!,50,December 2014,"My friend and I stayed here for 5 nights and we had the most amazing time. This hotel is stunning! Staff are super friendly and happy to help in any way possible. We were on the 6th floor and it was a great view of the pool and really quiet.
Food is exceptional, especially the Nasi Goreng. Food is also very reasonably priced for the quality.
Buffet breakfast is incredible and a very big choice! Eggs made to your liking, sweets, noodles, toast, bacon and so much more.
Happy hour is 2 for one from 5-7 and the cocktails were delicious.
Pool is a great size and very clean.
There is a general store right across the road to buy water, snacks etc. beach is a short stroll and the sunset is worth it!
There is not one negative about this resort! It's amazing. Anyone who had complaints must be extremely fussy!
Thank you for an amazing stay. We will be back!!!"
3598,Anniversary Weekend,50,December 2014,"Had an absolute wonderful weekend away for our anniversary. We stayed 4 nights early December and arrived on a very stormy evening where the hotel was experiencing a minor technical problem due to the very heavy rain. We couldn't get into the room we had booked that night however Brad and the staff sorted this out very quickly and went to great lengths to ensure we were well looked after and not disadvantaged. Highly recommend this hotel for modern facilities including a great pool and swim up bar, comfortable clean rooms and very friendly staff. Loved the little extras including staff greetings and wishes, the special card and cake delivered to our room and not to mention local restaurant recomendations. Would have to be one of the best hotel breakfasts in Bali all in a great location. Thanks Brad, We will be back and bring our friends
Regards,
Ray & Jackie from Perth"
3599,Expat Beach Getaway,50,December 2014,"A great get away for anyone coming to or living in Bali. We have been living up in Ubud and needed a beach break. At first we nervous about the Courtyard brand as in the States Courtyards aren't considered anything more than for business trips but this has a fresh new design and fun vibe. AMAZING breakfast with Western, Balinese and other Asia treats. The staff is on top of things with asking if you need coffee while constantly cleaning. During breakfast various sample treats (mini puffed pastry) are pass around giving you a chance to try something you might not normally do. Nice to see proper pork bacon being served. It's a great location to beach (5 minute walk) and restaurants. Fun pool w/bar daily happy hour specials. Wifi by the pool with you are digital nomad who need to work while relaxing. Some of the friendliest and helpful staff in Bali. Marriott really has come up with something exciting for the Courtyard brand, well done!!!"
3600,Excellent value and location,50,November 2014,Stayed for 4 nights in November. Booked a suite room because there were 3 adults. There was plenty of room in the lounge area for the extra bed. There was also a dining table with four chairs and sofa with another chair. Bathrooms are large and the shower larger with an amazing shower head - total rainfall effect. Beds/pillows/linen are good quality and very comfy. Check in was smooth and the staff extremely helpful. Breakfast was excellent - quality and variety of food was great. Pool area is a winner - long enough for serious lap swimmers and yet plenty of cushions to float around on. Mixture of pool lounges and bean bag chairs - nice change. And plenty of towels - no signing in and out - yay! This is a new hotel (opened 1/7/14) on the corner of Jalan Drupadi and Dyhana Pura - opposite Breezes. There is a well stocked mini mart across the road that also offers a reputable money changer and ATM's as well. This hotel offers real value for money - only a 5 min stroll to the beachfront. And free WIFI both at the pool and in the room!! There is also a kids club and safe pool area for the children. Definitely will be returning soon!
3601,"An amazing hotel, Absolutely unbeatable at this price point",50,December 2014,"We have enjoyed six nights at the Courtyard, booked a fantastic deal directly through the hotel website.

Being regular guests of some very high end hotels (W in Seminyak, Crown Towers Melbourne, Venetian Macau) I was originally apprehensive about booking a hotel in this price range, however due to the excellent reviews it had been getting I decided to give it a go, and so glad that we did!

My wife and I came with the intention of having a rest and relaxation style holiday, enjoying excellent food, a little shopping and a lot of time by the pool. The courtyard was an excellent base for this, the location is superb, only 10 minutes from most of Seminyak’s best restaurants, a short 10 minute trip to Legian or if you wish only 20 minutes to Kuta.

Our room was adequate for the stay, it is fairly small, but with plenty of room to store your luggage, a generously sized balcony and reasonably sized bed, we did not feel cramped. It is a pity the Bathroom’s are not more luxurious, with no Bathtub and fairly cheap tap ware it is unfortunate as this is the one area that the hotel simply cannot compete with the “Best” of Bali (Albeit at a fraction of the cost).

Service in the hotel is amazing, the guys at the pool bar are some of the best I have experienced across many hotels in Bali, always happy to have a chat, a lot of fun and actually confident enough to show their own personality, it is very refreshing to see hotel staff take off their “Hospitality Face” and make friends with the guests. Loved it!

Daily activities by the pool, whilst I did not join in, appeared to be being enjoyed by many guests, again, with super enthusiastic and fun hotel staff running them. The pool itself is awesome, with three levels, top level with pool bar, second level with two waterfalls and pool lounges and then a shaded area at the back (With great noise insulation) designed for kids. The only frustration here, was guests who allowed their noisy children, to play in the adult area’s of the pool, It is a pity guests do not think of others quiet enjoyment of the facilities before they let their children run riot (Not the hotels fault though, they unfortunately cannot filter guests at time of booking). The only other thing I will mention, is having the same band play during happy hour (Which goes for 3 hours) whilst was great the first night, after 6 became quite tedious. Maybe try and mix it up with some house DJ's, Live Bands, Vocalists etc?

We used the Spa facilities twice, once for a facial and massage and the other for a standard massage. Both times, the treatments were excellent, very good value for money and in spacious and comfortable rooms. The best thing was, I was able to get in at very short notice.

Food and Beverage was of a high standard, but not brilliant, Breakfast is exceptional, with great food quality, some of the best Coffee I’ve had in Bali and seeing both Billy the Chef and Brad the GM go around collecting plates and interacting with guests is impressive! Unfortunately though, the pool side menu is very limited and of quite low quality (Think: Deep fried chicken, spring rolls, wedges, french fries and chicken satay), would have been good to have a proper menu with things such as Pulled Pork Rolls, American Hamburgers and Hot Dogs, Seafood dishes such as Garlic Prawns and Oysters etc. Same as room service, The food quality was fine but very limited and very boring desert options. One of our favourite things in Bali is enjoying desert late at night in our room rather than at the restaurant of the evening, we could not do that here due to the limited menu. I was surprised at the lacking menu both poolside and room service wise as this would be an excellent revenue stream for the hotel which is clearly under-utilised.

I had a minor concierge related issue on our last evening, I sent a quick email to the staff asking for Brad to contact me, even though he was off site I had a phone call within an hour and he was very genuine in his concern. Couldn’t speak highly enough of Brad!

Overall, with a few minor complaints, this is easily one of the best hotels we have stayed at in Bali, from now, the biggest compliment I can give is that if the current pricing stays static, it will no doubt become one of the hotels we regularly stay at in Bali."
3602,A memorable stay,40,December 2014,"Execellent value for money, lovely and welcoming staff.

Clean room, wonderfull pool, and best of course is the staff.

However the breakfast buffet is not yet at 5 stars level, only ar 4 stars level... but we are fussy customers and it was overall very nice.

for sure we will come back."
3603,Great New Hotel,50,November 2014,"I chose this hotel for my family vacation because it was just opened in August. It was a right choice considering many choices we have in Bali. I am sure many of us find it difficult to find a perfect hotel in a place like Bali and choosing the new Courtyard in Seminyak is the best decision I've made. The check in was pleasant and we was attended warmly by the reception staff although it was peak time at 2 p.m. During check in, I basically bargaining for upgrading & complimentary extra bed for my 3 children. The staff was gladly attending to my request and allowed us to upgrade with complimentary extra bed. What a nice way to begin our vacation! For this I feel very appreciated by the staff. The room was new, comfy & cosy with settee at the balcony facing the pool. The kids really enjoy their stay especially the pool, kids club and their breakfast every morning. We stay for 4 days and every morning we are all excited to have our breakfast. The fruit variety was commendable and everything taste very good. We enjoy the pool so much especially the 'floating mat'. I manage to jog to the beach one morning. It was just less than 5 minutes run to the beach and the experience was just amazing. Surely will come back to this hotel one day."
3604,Better than expected,50,December 2014,"Stayed for 5 nights as a couple, great service throughout. Quite a new hotel, so everything is in good order. Like most Marriotts in this part of the world, service is really good, especially during breakfast. Not much happening outside the hotel though, it's easily 20 mins walk to the main shopping street and Bintang Supermarket. Good security as you would expect of a marriott hotel. Fantastic pool and pool bar, well designed guest rooms ensures everything works well. Most public areas are not air conditioned but you really don't realize it due to the good design. Do recommend a pool view room would suffice if you can get it. Pool access rooms are for aficionados only and not really worth the extra. All in all perhaps the best value lodging in Seminyak."
